ericon;Erinaceus concolor;1
salaur;Salamandra atra aurorae;1
ruprup;Rupicapra rupicapra;1
hievir;Hierophis viridiflavus;1
ursarc;Ursus arctos;10
lynlyn;Lynx lynx;10
canlup;Canis lupus;10
prucol;Prunella collaris;1
acrsci;Acrocephalus scirpaceus;1
aytful;Aythya fuligula;1
faltin;Falco tinnunculus;1
ralaqu;Rallus aquaticus;1
accnis;Accipiter nisus;1
galgal;Gallinago gallinago;1
salalp;Salvelinus alpinus;1
rantem;Rana temporaria;1
vesmur;Vespertilio murinus;1
salatr;Salamandra atra;1
bufvir;Pseudepidalea viridis;1
alcatt;Alcedo atthis;1
lularb;Lullula arborea;1
ixomin;Ixobrychus minutus;1
alegra;Alectoris graeca saxatilis;5
saxtor;Saxicola torquata;1
aegfun;Aegolius funereus;5
campanulamorettiana;Campanula morettiana;1
diphasiastrumalpinum;Diphasiastrum alpinum;1
embhor;Emberiza hortulana;5
rhibla;Rhinolophus blasii;1
zooviv;Zootoca vivipara;1
larrid;Larus ridibundus;1
anacre;Anas crecca;1
ericat;Eriogaster catax;1
eupqua;Euplagia quadripunctaria;1
grabil;Graphoderus bilineatus;1
hirmed;Hirudo medicinalis;1
helpom;Helix  pomatia;1
anacly;Anas clypeata;1
aytfer;Aythya ferina;1
tritot;Tringa totanus;1
egrgar;Egretta garzetta;1
coeoed;Coenonympha oedippus;1
eupaur;Euphydryas aurinia;1
susscr;Sus scrofa;1
bonbon;Bonasa bonasia;5
pictri;Picoides tridactylus;1
falcol;Falco columbarius;1
sylhor;Sylvia hortensis;5
musstr;Muscicapa striata;1
saxifragatombeanensis;Saxifraga tombeanensis;5
gentianaluteasymphyandra;Gentiana lutea symphyandra;5
gypful;Gyps fulvus;1
porpor;Porzana porzana;1
coloen;Columba oenas;1
embsch;Emberiza schoeniclus;1
anaque;Anas querquedula;1
embcir;Emberiza cirlus;1
leupec;Leucorrhinia pectoralis;1
luccer;Lucanus cervus cervus;1
lycdis;Lycaena dispar;1
macari;Maculinea arion;1
trascre;Trachemys scripta elegans;1
pelosyn;Pelophylax lessonae synklepton ridibundus;1
phoxpho;Phoxinus phoxinus;1
athnoc;Athene noctua;5
cincin;Cinclus cinclus;1
sylnis;Sylvia nisoria;5
cirgal;Circaetus gallicus;10
parmne;Parnassius mnemosyne;1
parapo;Parnassius apollo;1
ophcec;Ophiogomphus cecilia;1
osmere;Osmoderma eremita;1
trascr;Trachemys scripta;1
parcri;Lophophanes cristatus;1
otusco;Otus scops;5
lagmut;Lagopus muta helvetica;5
aixspo;Aix sponsa;1
pelles;Pelophylax lessonae;1
falper;Falco peregrinus;5
melfus;Melanitta fusca;1
larcan;Larus canus;1
rosalp;Rosalia alpina;1
parpho;Parnassius phoebus;1
anapla;Anas platyrhynchos;1
rhieur;Rhinolophus euryale;1
anastr;Anas strepera;1
knipun;Knipowitschia punctatissima;1
alolac;Alosa fallax m. lacustris;1
sablar;Sabanejewia larvata;1
tadtad;Tadorna tadorna;1
ansery;Anser erythropus;1
acrpal;Acrocephalus paludicola;1
orclim;Orconectes limosus;1
stesub;Stephanopachys substriatus;1
tradep;Tragosoma depsarium;1
vermoul;Vertigo moulinsiana;1
vergey;Vertigo geyeri;1
zerpol;Zerynthia polyxena;1
sagped;Saga pedo;1
milmig;Milvus migrans;5
phopho;Phoenicurus phoenicurus;1
parcae;Cyanistes caeruleus;1
accgen;Accipiter gentilis;1
embcit;Emberiza citrinella;1
aytnyr;Aythya nyroca;1
rutpig;Rutilus pigus;1
barcan;Barbus caninus;1
pleaus;Plecotus austriacus;1
lussve;Luscinia svecica;1
phybon;Phylloscopus bonelli;1
lancol;Lanius collurio;1
crecre;Crex crex;5
picvir;Picus viridis;1
lycopodiumannotinum;Lycopodium annotinum;1
cerfam;Certhia familiaris;1
micbon;Microcondylaea bonellii;1
cercer;Cerambyx cerdo;1
chamor;Charadrius morinellus;1
fichyp;Ficedula hypoleuca;1
orycun;Oryctolagus cuniculus;1
phacar;Phalacrocorax carbo;1
elique;Eliomys quercinus;1
antcam;Anthus campestris;1
stehir;Sterna hirundo;1
pasmon;Passer montanus;1
aytmar;Aythya marila;1
gavste;Gavia stellata;1
stralu;Strix aluco;1
hippol;Hippolais polyglotta;1
prumod;Prunella modularis;1
esoluc;Esox lucius;1
alofal;Alosa fallax;1
chosoe;Chondrostoma soetta;1
lanmin;Lanius minor;1
cerwel;Cerambyx welensii;1
adenophoraliliifolia;Adenophora liliifolia;5
chogen;Protochondrostoma genei;1
numarq;Numenius arquata;1
physib;Phylloscopus sibilatrix;1
pipkuh;Pipistrellus kuhlii;1
gavarc;Gavia arctica;1
cermil;Cerambyx miles;1
turtor;Turdus torquatus;1
asiotu;Asio otus;5
minsch;Miniopterus schreibersii;1
letzan;Lampetra zanandreai;1
lopach;Lopinga achine;1
tettet;Tetrao tetrix;5
sallac;Salmo trutta lacustris;1
gasacu;Gasterosteus aculeatus;1
buroed;Burhinus oedicnemus;1
diphasiastrumcomplanatum;Diphasiastrum complanatum;1
vanvan;Vanellus vanellus;1
oenhis;Oenanthe hispanica;5
tacruf;Tachybaptus ruficollis;1
auspal;Austropotamobius pallipes;1
propro;Proserpinus proserpina;1
myobra;Myotis brandtii;1
ruscusaculeatus;Ruscus aculeatus;1
hylhip;Hyles hippophaes;1
bomvar;Bombina variegata;1
bufbuf;Bufo bufo;1
eptser;Eptesicus serotinus;1
nyclei;Nyctalus leisleri;1
botste;Botaurus stellaris;1
cygcyg;Cygnus cygnus;1
carspi;Carduelis spinus;1
sommol;Somateria mollissima;1
cotgob;Cottus gobio;1
carcan;Carduelis cannabina;1
acthyp;Actitis hypoleucos;1
sylmel;Sylvia melanocephala;1
strtur;Streptopelia turtur;1
salmar;Salmo trutta marmoratus;1
salcar;Salmo carpio;1
salflu;Salaria fluviatilis;1
thythy;Thymallus thymallus;1
padmar;Padogobius bonelli;1
tadten;Tadarida teniotis;1
aquchr;Aquila chrysaetos;10
tricar;Triturus carnifex;1
oriori;Oriolus oriolus;1
piccan;Picus canus;1
siteur;Sitta europaea;1
monniv;Montifringilla nivalis;1
myodau;Myotis daubentonii;1
plealp;Plecotus alpinus;1
myoema;Myotis emarginatus;1
pippyg;Pipistrellus pygmaeus;1
nycnoc;Nyctalus noctula;1
micmin;Micromys minutus;1
pipnat;Pipistrellus nathusii;1
barbar;Barbastella barbastellus;1
eptnil;Eptesicus nilssonii;1
panhal;Pandion haliaetus;1
trigla;Tringa glareola;1
porpar;Porzana parva;1
acrsch;Acrocephalus schoenobaenus;1
pashis;Passer hispaniolensis;1
bracan;Branta canadensis;1
stepom;Stercorarius pomarinus;1
primulaspectabilis;Primula spectabilis;1
myocap;Myotis capaccinii;1
larmel;Larus melanocephalus;1
asifla;Asio flammeus;1
oxyleu;Oxyura leucocephala;1
chlnig;Chlidonias niger;1
ficalb;Ficedula albicollis;1
grugru;Grus grus;1
drynit;Dryomys nitedula;1
musave;Muscardinus avellanarius;1
nattas;Natrix tassellata;1
parpal;Poecile palustris;1
meralb;Mergus albellus;1
casalb;Casmerodius albus;1
plespp;Plecotus sp;1
pipispp;Pipistrellus sp;1
emyorb;Emys orbicularis;1
myomyo;Myotis myotis;1
randal;Rana dalmatina;1
falsub;Falco subbuteo;5
butbut;Buteo buteo;1
teturo;Tetrao urogallus;5
bubbub;Bubo bubo;5
podmur;Podarcis muralis;1
myomys;Myotis mystacinus;1
ranrid;Pelophylax ridibundus;1
embcal;Emberiza calandra;5
physoplexiscomosa;Physoplexis comosa;1
perapi;Pernis apivorus;5
gypbar;Gypaetus barbatus;10
vipamm;Vipera ammodytes;1
canaur;Canis aureus;1
myobec;Myotis bechsteinii;1
cicnig;Ciconia nigra;1
myonat;Myotis nattereri;1
sercit;Serinus citrinella;1
sylcom;Sylvia communis;1
nycnyc;Nycticorax nycticorax;1
embcia;Emberiza cia;1
porpus;Porzana pusilla;1
perper;Perdix perdix italica;1
falves;Falco vespertinus;1
glapas;Glaucidium passerinum;5
tytalb;Tyto alba;1
drymar;Dryocopus martius;1
circya;Circus cyaneus;1
lanexc;Lanius excubitor;1
upuepo;Upupa epops;1
acraru;Acrocephalus arundinaceus;1
monsol;Monticola solitarius;1
lansen;Lanius senator;1
hirrus;Hirundo rustica;1
lutlut;Lutra lutra;1
gentianalutea;Gentiana lutea;1
cypripediumcalceolus;Cypripedium calceolus;5
cotcot;Coturnix coturnix;1
lycopodiumclavatum;Lycopodium clavatum;1
arnicamontana;Arnica montana;1
artemisiagenipi;Artemisia genipi;1
galanthusnivalis;Galanthus nivalis;1
lycopodiellainundata;Lycopodiella inundata;5
diphasiastrumissleri;Diphasiastrum issleri;5
diphasiastrumoellgaardii;Diphasiastrum oellgaardii;10
himantoglossumadriaticum;Himantoglossum adriaticum;5
trivul;Lissotriton vulgaris;1
gladioluspalustris;Gladiolus palustris;5
primulaglaucescens;Primula glaucescens;5
botrychiumsimplex;Botrychium simplex;10
acinac;Acipenser naccarii;1
gavimm;Gavia immer;1
denleu;Dendrocopos leucotos;1
saxrub;Saxicola rubetra;1
merapi;Merops apiaster;1
phipug;Philomachus pugnax;1
cirpyg;Circus pygargus;1
saltru;Salmo trutta;1
lamflu;Lampetra fluviatilis;1
ortbar;Barbatula barbatula;1
monsax;Monticola saxatilis;5
hylint;Hyla intermedia;1
rhispp;Rhinolophus sp;1
pleaur;Plecotus auritus;1
myobly;Myotis blythii;1
musput;Mustela putorius;1
arcpau;Acrocephalus palustris;1
alaarv;Alauda arvensis;1
marmar;Martes martes;1
acistu;Acipenser sturio;1
rhifer;Rhinolophus ferrumequinum;1
capibe;Capra ibex;1
hypsav;Hypsugo savii;1
pippip;Pipistrellus pipistrellus;1
capeur;Caprimulgus europaeus;1
rhihip;Rhinolophus hipposideros;1
sunetr;Suncus etruscus;1
myocoy;Myocastor coypus;1
daphnepetraea;Daphne petraea;5
leusou;Telestes souffia;1
verang;Vertigo angustior;1
coraus;Coronella austriaca;1
myospp;Myotis sp;1
denmin;Dendrocopos minor;1
apupal;Apus pallidus;1
chadub;Charadrius dubius;1
corlav;Coregonus lavaretus;1
podaur;Podiceps auritus;1
ardral;Ardeola ralloides;1
oenoen;Oenanthe oenanthe;1
jyntor;Jynx torquilla;1
liparisloeselii;Liparis loeselii;10
dracocephalumaustriacum;Dracocephalum austriacum;5
milmil;Milvus milvus;1
caimos;Cairina moschata;1
anscyg;Anser cygnoides;1
netruf;Netta rufina;1
ciccic;Ciconia ciconia;1
motfla;Motacilla flava;1
